OSM_ESTIMATED_HEIGHT_M,levels_clean,DISTRICT,RERA_ID,PROJECT_NAME,PROMOTER_NAME,LOCATION_PIN_CODE,LATITUDE,LONGITUDE,PROPOSED_DATE_OF_COMPLETION,REVISED_PROPOSED_DATE_OF_COMPLETION,EXTENDED_DATE_OF_COMPLETION,PROJECT_TYPE,PROJECT_AREA_(SQMTS),RECREATIONAL_OPEN_SPACE,SANCTIONED_FSI,DATE_LAST_MODIFIED,CASES_COUNT,COMPLAINTS_COUNT,NUMBER_OF_APPARTMENTS,NUMBER_OF_BOOKED_APPARTMENTS,NUMBER_OF_BASEMENTS,NUMBER_OF_PLINTH,NUMBER_OF_PODIUMS,NUMBER_OF_SANCTIONED_FLOORS,NUMBER_OF_STILTS,TOTAL_NO__OF_OPEN_PARKING_AS_PER_SANCTIONED_PLAN_(4-WHEELER+2-WHEELER),NUMBER_OF_CLOSED_PARKING,SOURCE_REGION,CLEAN_PODIUMS,NON_RESIDENTIAL_FLOORS,RESIDENTIAL_START_FLOOR,TOTAL_LEVELS,HABITABLE_RESIDENTIAL_FLOORS,PODIUM_PARKING_RANGE,REFUGE_FLOORS,EST_FLATS_PER_FLOOR,FINAL_FLOORS,CLEAN_BASEMENTS,STRUCTURAL_HEIGHT_M,GROUND_ELEVATION_MSL_M,TERRAIN_HEIGHT_M,BUILT_VOLUME_CBM,HEIGHT_TIER,BASE_ULPIN_ID
21.7,7.0,Mumbai City,P51900016780,DARSSHAN VONALZO,JAYANT ENTERPRISE,400007,18.962659,72.814688,30-12-2024,30-12-2024,0,Residential,652.18,0.0,1013.45,05-11-2023,0,1,27,20,0.0,2,0,31,1,0,32,mumbai-city,0,1,2,7,6,Ground to Floor 1,,169,31.0,,96.1,10.63,10.63,2048950.65,High-Rise,IN-MH-MUM-P51900016780-18962
21.7,7.0,Mumbai City,P51900023110,Shelaji Avenues,Ashirwad Shelaji Developers LLP,400008,18.96417823,72.8282553,30-12-2025,30-12-2025,0,Residential,1266.55,422.59,6792.82,03-08-2024,0,0,89,26,0.0,1,3,18,1,3,34,mumbai-city,3,4,5,7,3,Ground to Floor 4,,2264,18.0,,55.8,10.71,10.71,26670683.13,High-Rise,IN-MH-MUM-P51900023110-18964
3.1,1.0,Mumbai City,P51900013432,FORTUNE EDGE,NINA REALTORS,400003,18.967464,72.833118,31-07-2020,31-01-2021,12/31/2023,Others,403.85,0.0,3942.47,05/30/2022,0,0,95,92,0.0,1,6,22,0,0,51,mumbai-city,6,6,7,7,1,Ground to Floor 6,,3942,22.0,,68.2,10.87,10.87,4935716.18,High-Rise,IN-MH-MUM-P51900013432-18967
18.6,6.0,Mumbai City,P51900006784,Waterfront Tower,Sea Kunal Corporation Pvt. Ltd.,400005,18.9103689,72.8197581,31-07-2017,31-07-2023,0,Residential,1860.79,0.0,3821.4,08-02-2022,0,0,21,8,1.0,1,9,24,2,0,66,mumbai-city,0,2,3,6,4,Ground to Floor 2,,955,24.0,,74.4,8.02,8.02,22043551.01,High-Rise,IN-MH-MUM-P51900006784-18910
21.7,7.0,Mumbai City,P51900015000,36 BABULNATH,VINOD MOHANLAL JAIN,400007,18.9573691,72.8073614,30-09-2021,30-09-2021,03/31/2024,Residential,534.28,0.0,1879.56,03-11-2024,3,0,12,6,0.0,1,5,15,1,0,30,mumbai-city,5,6,7,7,1,Ground to Floor 6,,1880,15.0,,46.5,10.37,10.37,3113055.08,High-Rise,IN-MH-MUM-P51900015000-18957
21.7,7.0,Mumbai City,P51900007404,MURGA GIRAN,LAKADAWALA DEVELOPERS PVT LTD,400008,18.963875,72.821203,31-12-2019,28-11-2021,0,Residential,2241.12,210.0,9623.19,09/30/2019,1,0,134,134,0.0,1,0,24,1,4,1,mumbai-city,0,1,2,7,6,Ground to Floor 1,,1604,24.0,,74.4,10.69,10.69,66856843.08,High-Rise,IN-MH-MUM-P51900007404-18963
21.7,7.0,Mumbai City,P51900008710,NEHA RESIDENCY,SHISHIR MANGEH SHIVAPURKAR,400015,18.996813,72.847305,30-05-2018,30-07-2019,05/30/2024,Residential,507.0,507.0,3277.0,07-07-2021,0,0,17,8,0.0,1,0,23,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,468,23.0,,71.3,12.34,12.34,5150460.9,High-Rise,IN-MH-MUM-P51900008710-18996
21.7,7.0,Mumbai City,P51900010115,RAJKAMAL PARK,PRARTHANA GRIHA NIRMAN,400012,18.995963,72.842362,31-12-2022,30-12-2023,12/29/2024,Residential,3150.83,0.0,10953.91,11/24/2023,0,0,126,96,0.0,2,0,14,2,0,2,mumbai-city,0,2,3,7,5,Ground to Floor 2,,2191,14.0,,43.4,12.3,12.3,106993115.56,High-Rise,IN-MH-MUM-P51900010115-18995
21.7,7.0,Mumbai City,P51900001936,MONTESOUTH-1,SWAYAM REALTORS & TRADERS LLP,400011,18.97,72.83,31-12-2021,30-12-2022,0,Residential,1475.7,0.0,24383.86,02/15/2024,0,0,168,112,4.0,1,7,22,1,0,336,mumbai-city,0,1,2,7,6,Ground to Floor 1,,4064,22.0,,68.2,11.0,11.0,111548112.83,High-Rise,IN-MH-MUM-P51900001936-18970
21.7,7.0,Mumbai City,P51900006299,Godrej Avenue Eleven - Tower B,GODREJ RESIDENCY PRIVATE LIMITED,400008,18.9671396,72.8286571,31-12-2021,30-12-2023,12/29/2024,Residential,4802.42,688.55,1327.24,02/23/2024,29,1,151,72,3.0,1,7,56,1,0,368,mumbai-city,0,1,2,7,6,Ground to Floor 1,,221,56.0,,173.6,10.86,10.86,19759288.15,Skyscraper,IN-MH-MUM-P51900006299-18967
21.7,7.0,Mumbai City,P51900007228,RUSI MEHTA TOWERS,ANAHITA RUSI MEHTA,400008,18.9671396,72.8286571,31-07-2018,31-07-2018,12/30/2021,Residential,285.12,0.0,1326.93,11/28/2023,0,0,35,0,0.0,1,0,18,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,190,18.0,,55.8,10.86,10.86,1172836.27,High-Rise,IN-MH-MUM-P51900007228-18967
21.7,7.0,Mumbai City,P51900005993,LAKADAWALA HEIGHTS,AARIAASH DEVELOPERS,400008,18.9671396,72.8286571,30-12-2021,30-12-2021,12/31/2024,Residential,746.66,158.63,0.0,02-02-2023,3,1,42,6,1.0,1,2,21,0,0,47,mumbai-city,2,2,3,7,5,Ground to Floor 2,,0,21.0,,65.1,10.86,10.86,0.0,High-Rise,IN-MH-MUM-P51900005993-18967
21.7,7.0,Mumbai City,P51900010538,BAUG-E-MOHAMMED,RIZWAN HABIB MALIK,400008,18.9671396,72.8286571,31-12-2020,30-12-2022,12/30/2023,Others,183.11,3.0,1278.02,03/20/2023,0,0,39,0,0.0,1,4,23,0,0,0,mumbai-city,4,4,5,7,3,Ground to Floor 4,,426,23.0,,71.3,10.86,10.86,725456.55,High-Rise,IN-MH-MUM-P51900010538-18967
21.7,7.0,Mumbai City,P51900004158,Kinjal Nine,Hi Rock Construction Pvt Ltd,400008,18.9671396,72.8286571,19-04-2020,19-10-2020,01/18/2024,Others,838.0,0.0,4752.0,02-06-2024,0,0,39,33,0.0,1,0,22,1,0,47,mumbai-city,0,1,2,7,6,Ground to Floor 1,,792,22.0,,68.2,10.86,10.86,12344745.6,High-Rise,IN-MH-MUM-P51900004158-18967
6.2,7.0,Mumbai City,P51900012238,SAUDA HEIGHTS,M.K. INDIA ENTERPRISES,400008,18.9671396,72.8286571,,,0,Residential,964.6,78.31,7632.41,11-11-2020,1,0,210,208,0.0,2,6,44,2,0,2,mumbai-city,6,8,9,9,1,Ground to Floor 8,,210,2.0,,6.2,10.86,10.86,22822890.33,Low-Rise,IN-MH-MUM-P51900012238-18967
21.7,7.0,Mumbai City,P51900013072,NEMAT -E- FAROOQUE HERITAGE,FALAKDEVELOPER,400008,18.9671396,72.8286571,30-06-2018,30-06-2019,12/31/2024,Residential,464.05,0.0,2255.3,06/13/2023,0,4,126,98,0.0,1,4,23,0,0,0,mumbai-city,4,4,5,7,3,Ground to Floor 4,,752,23.0,,71.3,10.86,10.86,3244373.09,High-Rise,IN-MH-MUM-P51900013072-18967
21.7,7.0,Mumbai City,P51900004434,La Mer Casa,EXCELLENT REALTOR DEVELOPERS,400008,18.9671396,72.8286571,31-12-2021,30-12-2022,12/31/2027,Residential,5531.81,432.1,10586.59,01/31/2024,0,5,240,78,3.0,1,5,52,1,23,147,mumbai-city,5,6,7,7,1,Ground to Floor 6,,10587,52.0,,161.2,10.86,10.86,181545313.73,Skyscraper,IN-MH-MUM-P51900004434-18967
24.8,7.0,Mumbai City,P51900001563,FATIMA HEIGHTS,M K ENTERPRISES,400008,18.9671396,72.8286571,,,0,Residential,14003.46,618.34,94265.11,12/27/2023,1,0,1271,309,0.0,8,0,179,8,0,8,mumbai-city,0,0,1,7,7,Ground Only,,182,8.0,,24.8,10.86,10.86,4092116861.57,Mid-Rise,IN-MH-MUM-P51900001563-18967
